Edge,Number of nodes changed
"(11, 12)",2
"(44, 45)",2
"(83, 84)",2
"(38, 39)",2
"(31, 32)",2
"(41, 42)",2
"(53, 54)",2
"(51, 52)",2
"(12, 13)",2
"(69, 70)",2
"(28, 29)",2
"(46, 47)",2
"(22, 23)",2
"(76, 77)",2
"(91, 92)",2
"(9, 10)",2
"(98, 99)",2
"(30, 31)",2
"(88, 89)",2
"(48, 49)",2
"(32, 33)",2
"(43, 44)",2
"(96, 97)",2
"(81, 82)",2
"(25, 26)",2
"(72, 73)",2
"(59, 60)",2
"(58, 59)",2
"(37, 38)",2
"(18, 19)",2
"(34, 35)",2
"(89, 90)",2
"(50, 51)",2
"(77, 78)",2
"(13, 14)",2
"(57, 58)",2
"(84, 85)",2
"(79, 80)",2
"(33, 34)",2
"(85, 86)",4
"(80, 81)",2
"(54, 55)",2
"(94, 95)",2
"(27, 28)",2
"(63, 64)",2
"(5, 6)",2
"(10, 11)",6
"(29, 30)",2
"(65, 66)",2
"(70, 71)",2
"(42, 43)",3
"(67, 68)",2
"(87, 88)",2
"(78, 79)",2
"(26, 27)",2
"(21, 22)",2
"(6, 7)",2
"(19, 20)",3
"(40, 41)",2
"(14, 15)",2
"(61, 62)",2
"(82, 83)",8
"(20, 21)",6
"(97, 98)",2
"(95, 96)",2
"(90, 91)",5
"(16, 17)",2
"(8, 9)",2
"(23, 24)",2
"(35, 36)",2
"(4, 5)",2
"(3, 4)",2
"(92, 93)",2
"(17, 18)",3
"(64, 65)",3
"(60, 61)",2
"(75, 76)",2
"(73, 74)",2
"(1, 2)",2
"(24, 25)",18
"(49, 50)",2
"(86, 87)",19
"(2, 3)",2
"(7, 8)",8
"(52, 53)",2
"(68, 69)",2
"(56, 57)",2
"(71, 72)",2
"(93, 94)",7
"(66, 67)",9
"(47, 48)",2
"(55, 56)",2
"(45, 46)",18
"(0, 1)",2
"(39, 40)",4
"(62, 63)",38
"(74, 75)",63
"(15, 16)",37
"(36, 37)",100
